Container No,Pasted Customer Name,Master Sheet Current Status,Master Sheet Customer Name,Master Sheet Order No
CRIU4025261,Astec Lifescience Limited,LEASE,Astec Lifescience Limited,OR250
CXRU1026582,ITC Ltd C/o KGVK Agro Limited,LEASE,ITC Ltd C/o KGVK Agro Limited,QAS-008- No
EMCU5376831,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,OR414
CGMU2990461,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,LEASE,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,QAS-6433B/24-25A
CRIU4025277,Orbicular Pharmaceutical Technologies  Pvt Ltd,LEASE,Orbicular Pharmaceutical Technologies  Pvt Ltd,OR251
CRIU4025282,BE Biosol Private Limited,LEASE,BE Biosol Private Limited,OR252
CZZU6009100,Chemplast Sanmar Limited,Offlease,Chemplast Sanmar Limited,QAS-009- No
SZLU9181432,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,LEASE,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,OR398
SZLU9181495,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,LEASE,Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit,OR398
SZLU9181134,DR FCR CHEMI LLP,LEASE,DR FCR CHEMI LLP,OR424
SZLU9181350,FEV India Pvt Ltd,LEASE,FEV India Pvt Ltd,OR430
SITE CABIN 74,CIE Automotive India Ltd,LEASE,CIE Automotive India Ltd,OR413
MWCU5709930,Lupin Limited,LEASE,Lupin Limited,OR438
MWCU5709930,Lupin Limited,LEASE,LUPIN LIMITED,OR438
TCLU1912937,Lupin Limited,LEASE,Lupin Limited,OR438
TCLU1912937,Lupin Limited,LEASE,LUPIN LIMITED,OR438
EMCU5367505,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,OR414
GRMU5181208,Chemplast Sanmar Limited,Offlease,CHEMPLAST SANMAR LIMITED,OR443
SZLU9903638,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,OR444
SZLU9903638,Longchem International Trading Company Limited,LEASE,LONGCHEM INTERNATIONAL TRADING COMPANY LIMITED,OR444
CXRU1042578,Hatsun Agro Product Ltd (HAP),Offlease,Hatsun Agro Product Ltd (HAP),OR436
SZLU9915670,Lupin Limited,LEASE,Lupin Limited,OR439
SZLU9915670,Lupin Limited,LEASE,LUPIN LIMITED,OR439
SZLU9902457,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,OR444
SZLU9902457,Longchem International Trading Company Limited,LEASE,LONGCHEM INTERNATIONAL TRADING COMPANY LIMITED,OR444
TRIU6636775,Akshayakalpa Farms and Foods Private Ltd,LEASE,Akshayakalpa Farms and Foods Private Ltd,OR442
TRIU6636775,Akshayakalpa Farms and Foods Private Ltd,LEASE,AKSHAYAKALPA FARMS AND FOODS PRIVATE LTD,OR442
TRIU6633518,Akshayakalpa Farms and Foods Private Ltd,LEASE,Akshayakalpa Farms and Foods Private Ltd,OR441
SZLU9901933,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,OR378
CXRU1036019,Hatsun Agro Product Ltd (HAP),Offlease,Hatsun Agro Product Ltd (HAP),OR447
CXRU1036019,Hatsun Agro Product Ltd (HAP),Offlease,LONGCHEM INTERNATIONAL TRADING COMPANY LIMITED,OR447
SZLU9916255,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,OR378
TITU9928040,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,QAS_0001-R
TITU9928040,Longchem International Trading Company Limited,LEASE,LONGCHEM INTERNATIONAL TRADING COMPANY LIMITED,QAS_0001-R
SZLU9915691,Laurus Synthesis Pvt.Ltd Unit-4,LEASE,Laurus Synthesis Pvt.Ltd Unit-4,OR451
SZLU9909636,Laurus Labs Limited Unit 4,LEASE,Laurus Labs Limited Unit 4,OR451
SZLU9909636,Laurus Labs Limited Unit 4,LEASE,LAURUS LABS LIMITED,OR451
BMOU9785278,ITC Limited -c/o Adya Dairy Products Pvt,LEASE,ITC Limited -c/o Adya Dairy Products Pvt,OR046
SZLU9901527,Mylan Laboratories Limited,LEASE,Mylan Laboratories Limited,OR449
SZLU9901527,Mylan Laboratories Limited,LEASE,LAURUS LABS LIMITED,OR449
TRIU6637874,Bengaluru Co.op Milk Union Ltd.(BAMUL),LEASE,Bengaluru Co.op Milk Union Ltd.(BAMUL),OR454
SZLU9904070,Mylan Laboratories Limited,LEASE,Mylan Laboratories Limited,OR449
SZLU9904070,Mylan Laboratories Limited,LEASE,"Mylan Laboratories Limited, FDF Unit-1 - 100% EOU",OR449
CRIU4023016,HATSUN AGRO PRODUCT LIMITED,LEASE,HATSUN AGRO PRODUCT LIMITED,OR458
CRIU4023021,HATSUN AGRO PRODUCT LIMITED,LEASE,HATSUN AGRO PRODUCT LIMITED,OR458
CRIU4025256,ASTEC LIFESCIENCE LTD,LEASE,ASTEC LIFESCIENCE LTD,OR462
SITE CABIN 56,ORBITTAL ELECTROMECH ENGINEERING PROJECTS PVT LTD,Offlease,,OR467
CRIU4025554,KPN FARM FRESH PRIVATE LIMITED,LEASE,KPN FARM FRESH PRIVATE LIMITED,OR470
CRIU4025507,Shree Agency,Offlease,Shree Agency,OR482
CRIU4025596,ASTEC LIFESCIENCE LTD,LEASE,ASTEC LIFESCIENCE LTD,OR490
CRIU4025600,ASTEC LIFESCIENCE LTD,LEASE,ASTEC LIFESCIENCE LTD,OR490
CRIU4025528,KPN FARM FRESH PRIVATE LIMITED,LEASE,KPN FARM FRESH PRIVATE LIMITED,OR492
SZLU9446439,LUTF FOODS PRIVATE LIMITED,LEASE,LUTF FOODS PRIVATE LIMITED,OR495
CRIU4025636,CHEMPLAST SANMAR LIMITED,LEASE,CHEMPLAST SANMAR LIMITED,OR443
SZLU9182038,CHEMPLAST SANMAR LIMITED,LEASE,CHEMPLAST SANMAR LIMITED,OR443
SZLU9446763,CHEMPLAST SANMAR LIMITED,Offlease,CHEMPLAST SANMAR LIMITED,OR443
GESU9565419,HATSUN AGRO PRODUCT LIMITED,LEASE,HATSUN AGRO PRODUCT LIMITED,OR448
GESU9565907,Aarthaa Future foods llp,LEASE,Aarthaa Future foods llp,OR463
CRIU4025317,KPN FARM FRESH PRIVATE LIMITED,LEASE,KPN FARM FRESH PRIVATE LIMITED,OR470
CRIU4025298,CHEMPLAST SANMAR LIMITED,Offlease,CHEMPLAST SANMAR LIMITED,OR443
CRIU4025560,CHEMPLAST SANMAR LIMITED,Offlease,CHEMPLAST SANMAR LIMITED,OR443
GESU9563801,LAURUS LABS LIMITED,LEASE,LAURUS LABS LIMITED,OR448
SZLU3618356,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),LEASE,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),OR453
SZLU3619239,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),LEASE,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),OR453
CRIU1025036,QWIK SUPPLY CHAIN PRIVATE LIMITED,LEASE,QWIK SUPPLY CHAIN PRIVATE LIMITED,OR536
CRIU1025062,QWIK SUPPLY CHAIN PRIVATE LIMITED,LEASE,QWIK SUPPLY CHAIN PRIVATE LIMITED,OR538
CICU1938117,"Dr. Reddy's Laboratories Ltd., VSEZ",Offlease," Dr. Reddy's Laboratories Ltd., VSEZ",
CRLU3179858,Linde plc,LEASE,Linde plc,OR507
GESU6329868,Welcon Equipments (India) Pvt Ltd.,LEASE,Welcon Equipments (India) Pvt Ltd.,OR515
TRIU6687350,Jubliant Consumer Pvt.Ltd,LEASE,Jubliant Consumer Pvt.Ltd,OR497
SZLU9552997,CARBORUNDUM UNIVERSAL LIMITED,LEASE,CARBORUNDUM UNIVERSAL LIMITED,OR541
TRIU6688779,Bengaluru Co.op Milk Union Ltd.(BAMUL),LEASE,Bengaluru Co.op Milk Union Ltd.(BAMUL),OR454
